Customer_ID,Age,Gender,City,Employment_Type,Annual_Income,Loan_Amount,Loan_Purpose,Credit_Score,Loan_Tenure_Years,EMI_Amount,Payment_History,Loan_Status,DTI_Ratio,LTI_Ratio,Credit_Tier
CUST01317,44,Male,Kolkata,Self-Employed,1666760.0,1907845,Education Loan,854.0,10,15898.71,Missed,Defaulted,0.11446430199908804,1.1446428999976002,Excellent
CUST01001,26,Male,Ahmedabad,Self-Employed,1883523.0,1334283,Education Loan,594.0,6,18531.71,Good,Defaulted,0.11806626199945527,0.7083975082863336,Fair
CUST01069,36,Female,Mumbai,Business Owner,1791218.0,2487839,Business Loan,491.0,2,103659.96,Excellent,Defaulted,0.6944545666691603,1.3889091110071472,Poor
CUST01968,50,Male,Ahmedabad,Salaried,1641246.0,3829337,Education Loan,336.0,3,106370.47,Excellent,Defaulted,0.777729627368475,2.3331889308488796,Poor
CUST00530,52,Male,Ahmedabad,Self-Employed,1835288.0,4969161,Education Loan,695.0,14,29578.34,Good,Approved,0.19339748311981553,2.707564698292584,Good
CUST01283,55,Female,Delhi,Self-Employed,2037753.0,4501116,Car Loan,422.0,17,22064.29,Excellent,Defaulted,0.12993305861897883,2.208862408741393,Poor
CUST00415,33,Female,Pune,Freelancer,1068374.0,128116,Car Loan,701.0,12,889.69,Delayed,Approved,0.009993017426481739,0.1199168081589406,Good
CUST00983,63,Female,Bangalore,Salaried,1721466.0,829091,Home Loan,326.0,17,4064.17,Missed,Defaulted,0.02833052758520935,0.4816191548366334,Poor
CUST00417,37,Male,Pune,Salaried,229725.0,2072643,Personal Loan,337.0,12,14393.35,Missed,Defaulted,0.7518563499836762,9.022278811622591,Poor
CUST01472,61,Female,Bangalore,Freelancer,595395.0,3665590,Home Loan,647.0,2,152732.92,Missed,Defaulted,3.078284231476583,6.156568328588584,Fair
CUST01525,51,Female,Jaipur,Business Owner,1357588.5,4708234,Personal Loan,873.0,1,392352.83,Delayed,Defaulted,3.468086213164004,3.468086242628013,Excellent
CUST01576,35,Male,Lucknow,Business Owner,503664.0,4462903,Business Loan,681.0,1,371908.58,Delayed,Defaulted,8.860873439435814,8.86087351885384,Good
CUST00252,56,Female,Ahmedabad,Salaried,1746236.0,2792455,Car Loan,594.0,12,19392.05,Good,Defaulted,0.13326068183223802,1.5991280674547999,Fair
CUST01622,26,Male,Mumbai,Self-Employed,473586.0,1025112,Home Loan,881.0,2,42713.0,Good,Approved,1.0822870608506163,2.1645741217012326,Excellent
CUST00071,44,Male,Kolkata,Salaried,249104.0,4267690,Home Loan,387.0,4,88910.21,Good,Defaulted,4.283040497141756,17.132161667416018,Poor
CUST01107,49,Male,Chennai,Business Owner,2339879.0,3568920,Business Loan,566.0,3,99136.67,Good,Rejected,0.5084194695537675,1.5252583573765994,Fair
CUST01363,64,Female,Lucknow,Self-Employed,1606978.0,2995081,Car Loan,399.0,9,27732.23,Delayed,Defaulted,0.20708856001762316,1.863797139724377,Poor
